G3CN1561 དཔལ་སྤུངས་ཤེས་རབ་གླིང་།	https://www.palpung.org				
					
W1ERI0013001 ཤེས་རབ་གླིང་གི་བཤད་གྲྭ།					
	ལོ་རིམ་དང་པོ།				
		བསེ་བསྡུས་གྲྭ།			
		སྤྱོད་འཇུག་མཆན་འགྲེལ།			
	ལོ་རིམ་གཉིས་པ།				
		སྐྱེ་དགུའི་བདག་པོ་ལ། རིགས་ལམ་གསལ་བྱེད།			
		ཚད་མ་ལེགས་པར་བཤད་པ་ཐམས་ཅད་ཀྱི་ཆུ་བོ་ཡོངས་སུ་འདུ་བ་རིགས་པའི་གཞུང་ལུགས་ཀྱི་རྒྱ་མཚོ་ཞེས་བྱ་བ་ལས་གསུམ་པ་རང་དོན་རྗེས་དཔག་གི་ལེའུ།			
	ལོ་རིམ་གསུམ་པ།				
		ཚད་མ་ལེགས་པར་བཤད་པ་ཐམས་ཅད་ཀྱི་ཆུ་བོ་ཡོངས་སུ་འདུ་བ་རིགས་པའི་གཞུང་ལུགས་ཀྱི་རྒྱ་མཚོ་ཞེས་བྱ་བ་ལས་གསུམ་པ་རང་དོན་མངོན་སུམ་གྱི་ལེའུ།			
	ལོ་རིམ་བཞི་པ།				
		དབུ་མ་ལ་འཇུག་པའི་རྣམ་བཤད་དཔལ་ལྡན་དུས་གསུམ་མཁྱེན་པའི་ཞལ་ལུང་དྭགས་བརྒྱུད་གྲུབ་པའི་ཤིང་རྟ་ཞེས་བྱ་བ།			
	ལོ་རིམ་ལྔ་པ།				
		དབུ་མ་རྩ་བའི་ཤེས་རབ་ཀྱི་མཆན་འགྲེལ།			
		བསྟན་བཅོས་བཞི་བརྒྱ་པ་ཞེས་བྱ་བའི་ཚིག་ལེའུར་བྱས་པའི་མཆན་འགྲེལ།			
	ལོ་རིམ་དྲུག་པ།				
		ཆོས་མངོན་པའི་མཛོད་ཀྱི་རྣམ་པར་བཤད་པ་ཆོས་མངོན་རྒྱ་མཚོའི་སྙིང་པོ་མཁྱེན་བརྩེའི་ཞལ་ལུང་གཞོན་ནུ་རྣམ་རོལ་ལེགས་བཤད་ཆོས་མིག་རྣམ་འབྱེད་གྲུབ་བདེའི་ཤིང་རྟ་ཞེས་བྱ་བ། 			
	ལོ་རིམ་བདུན་པ།				
		ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་ལུང་ཆོས་མཐའ་དག་གི་བདུད་རྩིའི་སྙིང་པོར་གྱུར་པ་གང་ལ་ལྡན་པའི་གཞི་རྗེ་བཙུན་མཆོག་ཏུ་དགྱེས་པར་ངལ་གསོ་བའི་ཡོངས་འདུ་ས་བརྟོལ་གྱི་ལྗོན་པ་རྒྱས་པ་ཞེས་བྱ་བ།			
	ལོ་རིམ་བརྒྱད་པ།				
		ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་ལུང་ཆོས་མཐའ་དག་གི་བདུད་རྩིའི་སྙིང་པོར་གྱུར་པ་གང་ལ་ལྡན་པའི་གཞི་རྗེ་བཙུན་མཆོག་ཏུ་དགྱེས་པར་ངལ་གསོ་བའི་ཡོངས་འདུ་ས་བརྟོལ་གྱི་ལྗོན་པ་རྒྱས་པ་ཞེས་བྱ་བ།			
	ལོ་རིམ་དགུ་པ།				
